Report Date:;15/05/2024 13:38:14
Report User Name:;clt-sonde
Report Computer Name:;CLT-THO-SA249-P
Application:;WinSitu.exe
Application Version:;5.7.6.1


Log File Properties
File Name;240515-WS-BourgetB-05-2024_2024-05-15_13-38-05-073.wsl
Create Date;15/05/2024 13:37:05

Device Properties
Device;Level TROLL 400
Site;Bourget
Device Name; 
Serial Number;1028058
Firmware Version;3.09
Hardware Version;6
Device Address;1
Device Comm Cfg;9600,8,Even,1,(Modbus-ASCII)
Used Memory;50
Used Battery;15

Log Configuration
;Log Name;240515-WS-BourgetB-05-2024
;Created By;clt-sonde
;Computer Name;CLT-THO-SA249-P
;Application;WinSitu.exe
;Application Version;5.7.6.1
;Create Date;15/05/2024 10:36:48 Paris, Madrid (heure d’été)
;Log Setup Time Zone;Paris, Madrid (heure d’été)
;Notes Size(bytes);4096
;Overwrite when full;Disabled
;Scheduled Start Time;Manual Start
;Scheduled Stop Time;No Stop Time
;Type;Fast Linear
 ;Interval;Days: 0 hrs: 00 mins: 00 secs: 01



Level Reference Settings At Log Creation
;        Level Measurement Mode;Depth
;              Specific Gravity;0.999


Other Log Settings
;Pressure Offset:;966.732 (mBar)
;Depth of Probe:;-0.00698517 (m)
;Head Pressure:;-0.684326 (mBar)
;Temperature:;20.1221 (C)



Log Notes:
Date and Time;Note
15/05/2024 10:37:02;Used Battery: 15% Used Memory: 53%   User Name: clt-sonde
15/05/2024 10:37:14;Manual Start Command
15/05/2024 13:31:27;Used Battery: 15% Used Memory: 56%   User Name: clt-sonde
15/05/2024 13:31:29;Manual Stop Command


Log Data:
Record Count;10446

Sensors;1

 ,1,1028058,Pressure/Temp 500 PSIA (341.3m/1120ft)

Time Zone: Paris, Madrid (heure d’été)

;;Sensor: Pres(A) 1120ft                  ;
;Elapsed Time;SN#: 1028058                            ;
Date and Time;Seconds     ;Depth (m)                               ;
15/05/2024 10:41:04;     230.000;                                  -0.019;
15/05/2024 10:41:05;     231.000;                                  -0.019;
15/05/2024 10:41:06;     232.000;                                  -0.009;
15/05/2024 10:41:07;     233.000;                                  -0.015;
15/05/2024 10:41:08;     234.000;                                  -0.036;
15/05/2024 10:41:09;     235.000;                                   0.010;
15/05/2024 10:41:10;     236.000;                                  -0.019;
15/05/2024 10:41:11;     237.000;                                  -0.008;
15/05/2024 10:41:12;     238.000;                                  -0.015;
15/05/2024 10:41:13;     239.000;                                  -0.022;
15/05/2024 10:41:14;     240.000;                                   0.006;
15/05/2024 10:41:15;     241.000;                                  -0.025;
15/05/2024 10:41:16;     242.000;                                  -0.004;
15/05/2024 10:41:17;     243.000;                                  -0.018;
15/05/2024 10:41:18;     244.000;                                  -0.011;
15/05/2024 10:41:19;     245.000;                                  -0.022;
15/05/2024 10:41:20;     246.000;                                   0.017;
15/05/2024 10:41:21;     247.000;                                   0.010;
15/05/2024 10:41:22;     248.000;                                  -0.004;
15/05/2024 10:41:23;     249.000;                                  -0.018;
15/05/2024 10:41:24;     250.000;                                  -0.022;
15/05/2024 10:41:25;     251.000;                                  -0.011;
15/05/2024 10:41:26;     252.000;                                  -0.025;
15/05/2024 10:41:27;     253.000;                                   0.007;
15/05/2024 10:41:28;     254.000;                                  -0.007;
15/05/2024 10:41:29;     255.000;                                  -0.007;
15/05/2024 10:41:30;     256.000;                                  -0.021;
15/05/2024 10:41:31;     257.000;                                  -0.018;
15/05/2024 10:41:32;     258.000;                                  -0.014;
15/05/2024 10:41:33;     259.000;                                  -0.014;
15/05/2024 10:41:34;     260.000;                                  -0.014;
15/05/2024 10:41:35;     261.000;                                  -0.014;
15/05/2024 10:41:36;     262.000;                                  -0.010;
15/05/2024 10:41:37;     263.000;                                  -0.007;
15/05/2024 10:41:38;     264.000;                                  -0.018;
15/05/2024 10:41:39;     265.000;                                  -0.018;
15/05/2024 10:41:40;     266.000;                                   0.004;
15/05/2024 10:41:41;     267.000;                                   0.008;
15/05/2024 10:41:42;     268.000;                                   0.011;
15/05/2024 10:41:43;     269.000;                                  -0.010;
15/05/2024 10:41:44;     270.000;                                  -0.017;
15/05/2024 10:41:45;     271.000;                                  -0.031;
15/05/2024 10:41:46;     272.000;                                  -0.024;
15/05/2024 10:41:47;     273.000;                                  -0.017;
15/05/2024 10:41:48;     274.000;                                  -0.021;
15/05/2024 10:41:49;     275.000;                                   0.004;
15/05/2024 10:41:50;     276.000;                                  -0.038;
